"PAGE","NUMBER","POS","REPO_PATH","LOCAL_AS_SITE_SHOWS","LOCAL_KIND","EXISTS","ON_904_SIDEWAYS_LIST","UPRIGHT_COPY"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","69","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (228).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (228).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","69","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (234).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (234).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","71","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (239).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (239).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","71","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (240).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (240).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","73","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (243).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (243).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","73","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (244).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (244).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","73","3","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (245).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (245).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","80","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (261).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (261).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","87","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (272).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (272).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","87","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (273).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (273).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","92","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (290).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (290).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (298).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (298).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (299).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (299).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","3","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (300).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (300).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","4","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (303).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (303).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","5","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (304).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (304).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","6","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (305).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (305).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","93","7","gems-0501-1000/20260818_170151.jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0501-1000\20260818_170151.jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","99","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (338).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (338).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","107","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (371).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (371).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","107","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (372).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (372).jpg","MIRROR","True","True","C:\Users\godbl\Desktop\PHOTO UPRIGHT CHECK 20260915\UPRIGHT_FIXED_20260915\gems-0001-0500-a__of 1348 HAND WRITTEN LYRICS (372)__UPRIGHT.jpg"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","126","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (422).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (422).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","146","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (460).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (460).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","152","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (467).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (467).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","152","2","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (468).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (468).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","153","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (472).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (472).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","168","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (515).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (515).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","181","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (549).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (549).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (557).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (557).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (560).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (560).jpg","MIRROR","True","True","C:\Users\godbl\Desktop\PHOTO UPRIGHT CHECK 20260915\UPRIGHT_FIXED_20260915\gems-0001-0500-b__of 1348 HAND WRITTEN LYRICS (560)__UPRIGHT.jpg"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","3","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (562).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (562).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","4","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (572).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (572).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","5","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (573).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (573).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","6","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (574).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (574).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","7","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (575).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (575).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","185","8","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (576).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (576).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","186","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (563).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (563).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","186","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (564).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (564).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","196","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (587).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (587).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","204","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (608).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (608).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","204","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (609).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (609).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","204","3","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (610).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (610).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","210","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (626).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (626).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","211","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (627).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (627).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","221","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (648).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (648).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","223","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (654).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (654).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","230","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (665).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (665).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","237","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (687).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (687).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (688).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (688).jpg","MIRROR","True","True","C:\Users\godbl\Desktop\PHOTO UPRIGHT CHECK 20260915\UPRIGHT_FIXED_20260915\gems-0001-0500-b__of 1348 HAND WRITTEN LYRICS (688)__UPRIGHT.jpg"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (689).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (689).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","3","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (690).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (690).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","4","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (691).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (691).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","5","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (692).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (692).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","6","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (693).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (693).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","7","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (694).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (694).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","8","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (695).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (695).jpg","MIRROR","True","True","C:\Users\godbl\Desktop\PHOTO UPRIGHT CHECK 20260915\UPRIGHT_FIXED_20260915\gems-0001-0500-b__of 1348 HAND WRITTEN LYRICS (695)__UPRIGHT.jpg"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","9","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (696).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (696).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","10","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (698).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (698).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","238","11","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (699).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (699).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","240","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (700).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (700).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","266","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (766).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (766).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","270","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (772).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (772).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","327","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (901).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (901).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","332","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (908).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (908).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","335","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (912).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (912).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","364","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (956).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (956).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","372","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (973).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (973).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","372","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (974).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (974).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","375","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (980).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (980).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","378","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (988).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (988).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","384","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (1002).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (1002).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","387","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (1010).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (1010).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","398","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (1030).jpg","C:\TOM DECK V15 - PHOTO FIX - 20260915\rotated-photos\of 1348 HAND WRITTEN LYRICS (1030).jpg","ROTATED_394_AS_ON_GITHUB","True","False",
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.html","413","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (1058).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (1058).jpg","MIRROR","True","False",
